airport_code,airport_name,month,year,num_of_flights_total,num_of_delays_carrier,num_of_delays_late_aircraft,num_of_delays_nas,num_of_delays_security,num_of_delays_weather,num_of_delays_total,minutes_delayed_carrier,minutes_delayed_late_aircraft,minutes_delayed_nas,minutes_delayed_security,minutes_delayed_weather,minutes_delayed_total,average_delay_time,hours_delayed_total,weather_delay
DEN,"Denver, CO: Denver International",August,2005.0,17827,1013,788.0,753,9,120,2682,50588.0,44658,27912.0,411,8388,131957,49.20096942580164,2199.2833333333333,657.5999999999999
IAD,"Washington, DC: Washington Dulles International",August,2005.0,11064,393,763.0,922,6,54,2133,21463.0,52261,33574.0,184,3582,111064,52.06938584153774,1851.0666666666666,651.7
ORD,"Chicago, IL: Chicago O'Hare International",August,2005.0,28662,1273,1663.0,2422,12,163,5533,76496.0,100348,120036.0,533,11190,308603,55.774986444966565,5143.383333333333,1630.7000000000003
SAN,"San Diego, CA: San Diego International",August,2005.0,7946,611,571.0,388,7,49,1629,27822.0,27741,13411.0,346,3384,72704,44.63106200122775,1211.7333333333333,375.5
SFO,"San Francisco, CA: San Francisco International",August,2005.0,11598,797,683.0,1078,11,69,2638,41615.0,41956,51040.0,355,4717,139683,52.95034116755117,2328.05,705.1
SLC,"Salt Lake City, UT: Salt Lake City International",August,2005.0,14630,822,684.0,602,17,82,2206,39182.0,33107,19181.0,438,5536,97444,44.172257479601086,1624.0666666666666,528.0
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",September,2005.0,33631,1247,977.0,2374,8,127,4731,84909.0,48728,76158.0,199,6153,216147,45.68738110336081,3602.45,1963.2
DEN,"Denver, CO: Denver International",September,2005.0,16297,611,461.0,515,3,42,1632,33657.0,24519,15970.0,175,2736,77057,47.216299019607845,1284.2833333333333,515.05
IAD,"Washington, DC: Washington Dulles International",September,2005.0,9398,231,357.0,527,0,19,1134,12036.0,21710,15985.0,11,1552,51294,45.232804232804234,854.9,468.65
ORD,"Chicago, IL: Chicago O'Hare International",September,2005.0,27474,830,1262.0,2500,6,119,4717,53005.0,77123,129495.0,144,9102,268869,57.0,4481.15,2122.6
SAN,"San Diego, CA: San Diego International",September,2005.0,7451,414,419.0,420,3,31,1286,,17110,12249.0,119,1607,47963,37.29626749611197,799.3833333333333,429.7
SFO,"San Francisco, CA: San Francisco International",September,2005.0,10765,660,417.0,1084,8,42,2212,31232.0,23699,45912.0,261,2031,103135,46.625226039783,1718.9166666666667,871.7
SLC,"Salt Lake City, UT: Salt Lake City International",September,2005.0,13720,613,432.0,550,4,41,1641,29844.0,16681,16287.0,141,2775,65728,40.053625837903716,1095.4666666666667,528.1
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",October,2005.0,35282,1288,1402.0,4520,8,276,7493,84911.0,82014,204257.0,452,17084,388718,51.877485653276395,6478.633333333333,3634.6
DEN,"Denver, CO: Denver International",October,2005.0,16498,706,590.0,526,4,51,1876,36179.0,41825,17897.0,86,4676,100663,53.658315565031984,1677.7166666666667,569.9000000000001
IAD,"Washington, DC: Washington Dulles International",October,2005.0,9262,317,479.0,635,1,16,1447,17936.0,29914,19606.0,65,1182,68703,47.47961299239807,1145.05,572.45
ORD,"Chicago, IL: Chicago O'Hare International",October,2005.0,29083,985,1101.0,1368,5,79,3538,55588.0,65317,61542.0,221,6400,189068,53.4392312040701,3151.133333333333,1298.5
SAN,"San Diego, CA: San Diego International",October,2005.0,7641,478,495.0,308,3,37,1321,19788.0,21984,9451.0,124,2341,53688,40.64193792581378,894.8,385.70000000000005
SFO,"San Francisco, CA: San Francisco International",October,2005.0,11104,676,516.0,904,5,37,2134,30973.0,32199,44132.0,79,2453,109836,51.46954076850984,1830.6,779.4
SLC,"Salt Lake City, UT: Salt Lake City International",October,2005.0,13962,570,449.0,372,9,48,1446,25504.0,19691,11724.0,476,3389,60784,42.035961272475795,1013.0666666666667,424.5
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",November,2005.0,33063,1466,1109.10407239819,4100,3,314,7140,98262.0,87043,238063.0,207,24257,447832,62.72156862745098,7463.866666666667,3311.731221719457
DEN,"Denver, CO: Denver International",November,2005.0,15317,692,590.0,576,4,49,1913,32958.0,29347,16547.0,161,3472,82485,43.118139048614744,1374.75,600.4000000000001
IAD,"Washington, DC: Washington Dulles International",November,2005.0,7408,261,307.0,435,2,18,1021,15385.0,22699,14651.0,56,1008,53799,52.692458374142994,896.65,392.85
ORD,"Chicago, IL: Chicago O'Hare International",November,2005.0,28453,1096,1602.0,3646,3,118,6466,68777.0,100887,206610.0,128,7358,383760,59.35044849984534,6396.0,2968.5
SAN,"San Diego, CA: San Diego International",November,2005.0,7239,389,327.0,238,0,22,976,14844.0,14822,6803.0,12,1766,38247,39.1875,637.45,274.8
SFO,"San Francisco, CA: San Francisco International",November,2005.0,10584,674,473.0,1284,6,56,2495,33260.0,30527,63572.0,199,4318,131876,52.8561122244489,2197.9333333333334,1032.5
SLC,"Salt Lake City, UT: Salt Lake City International",November,2005.0,12970,650,469.0,735,10,83,1947,,21458,21904.0,305,3855,75354,38.70261941448382,1255.9,701.45
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",December,2005.0,33632,,1109.10407239819,4898,12,509,9899,130387.0,139313,255257.0,479,33154,558590,56.42893221537529,9309.833333333334,4025.4312217194574
DEN,"Denver, CO: Denver International",December,2005.0,16404,,1183.0,1333,11,145,4293,79791.0,73731,43131.0,249,9461,206363,48.069648264616816,3439.383333333333,1366.35
IAD,"Washington, DC: Washington Dulles International",December,2005.0,7494,408,550.0,471,1,36,1466,,32991,14510.0,120,2706,72899,49.72646657571624,1214.9833333333333,507.15000000000003
ORD,"Chicago, IL: Chicago O'Hare International",December,2005.0,29229,,2586.0,4713,17,292,9479,114235.0,168738,303125.0,674,22736,609512,64.30129760523262,10158.533333333333,4131.25
SAN,"San Diego, CA: San Diego International",December,2005.0,7590,643,620.0,485,9,58,1810,27572.0,30286,16010.0,282,3242,77392,42.758011049723756,1289.8666666666666,559.25
SFO,"San Francisco, CA: San Francisco International",December,2005.0,10972,911,766.0,2505,6,119,4307,46898.0,60349,194437.0,325,9636,311645,72.35778964476434,5194.083333333333,1977.05
SLC,"Salt Lake City, UT: Salt Lake City International",December,2005.0,11469,1022,840.0,584,29,166,2644,42784.0,42255,18738.0,842,9201,113820,43.04841149773071,1897.0,797.6
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",January,2006.0,33274,,1506.0,4563,7,401,8109,116197.0,122615,,203,32153,548821,67.68047848070046,9147.016666666666,3818.7500000000005
DEN,"Denver, CO: Denver International",January,2006.0,17971,1155,909.0,816,4,75,2958,51783.0,57858,25430.0,174,4783,140028,47.33874239350913,2333.8,878.0999999999999
IAD,"Washington, DC: Washington Dulles International",January,2006.0,6917,439,577.0,395,4,46,1458,27700.0,43858,15582.0,204,3871,91215,62.56172839506173,1520.25,475.85
ORD,"Chicago, IL: Chicago O'Hare International",January,2006.0,30828,1308,1849.0,3820,9,188,7177,80222.0,133127,,309,15707,441216,61.47638288978682,7353.6,3225.7
SAN,"San Diego, CA: San Diego International",January,2006.0,7598,465,435.0,303,3,44,1251,19616.0,23615,10164.0,53,2345,55793,44.598721023181454,929.8833333333333,371.45000000000005
SFO,"San Francisco, CA: San Francisco International",January,2006.0,10727,889,533.0,1205,7,60,2693,42563.0,35127,58969.0,253,4036,140948,52.33865577422949,2349.133333333333,1003.15
SLC,"Salt Lake City, UT: Salt Lake City International",January,2006.0,11423,795,587.0,455,11,109,1954,35048.0,27085,12964.0,251,5243,80591,41.244114636642784,1343.1833333333334,580.85
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",February,2006.0,30438,1352,1109.10407239819,4880,9,342,8013,91889.0,84771,234197.0,412,21941,433210,54.06339697990765,7220.166666666667,3846.731221719457
DEN,"Denver, CO: Denver International",February,2006.0,16751,1147,1148.0,1423,10,113,3839,61140.0,71227,49770.0,491,7119,189747,49.42615264391769,3162.45,1382.35
IAD,"Washington, DC: Washington Dulles International",February,2006.0,7078,389,560.0,248,6,32,1233,24596.0,36910,8615.0,260,2253,72634,58.908353609083534,1210.5666666666666,361.20000000000005
ORD,"Chicago, IL: Chicago O'Hare International",February,2006.0,28150,1239,1744.0,3396,10,158,6545,77144.0,121135,189556.0,506,10168,398509,60.887547746371276,6641.816666666667,2888.6
SAN,"San Diego, CA: San Diego International",February,2006.0,6962,520,584.0,558,6,72,1740,22801.0,30032,22548.0,147,4974,80502,46.265517241379314,1341.7,609.9
SFO,"San Francisco, CA: San Francisco International",February,2006.0,9742,757,645.0,1573,4,66,3048,,40924,,191,4435,161355,52.93799212598425,2689.25,1281.95
SLC,"Salt Lake City, UT: Salt Lake City International",February,2006.0,10375,789,626.0,675,16,96,2200,35886.0,31434,21827.0,587,5123,94857,43.11681818181818,1580.95,722.55
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",March,2006.0,34988,,1596.0,4458,13,286,7870,92476.0,82823,194182.0,1024,15803,386308,49.0861499364676,6438.466666666666,3662.5
DEN,"Denver, CO: Denver International",March,2006.0,19193,1331,1743.0,1369,5,172,4622,64958.0,112207,47796.0,122,13720,238803,51.666594547814796,3980.05,1584.75
IAD,"Washington, DC: Washington Dulles International",March,2006.0,8256,439,566.0,310,8,31,1353,24028.0,38109,15173.0,247,2199,79756,58.94752402069475,1329.2666666666667,402.29999999999995
ORD,"Chicago, IL: Chicago O'Hare International",March,2006.0,31685,1419,2471.0,5514,8,197,9608,91823.0,186028,402761.0,314,15529,696455,72.4869900083264,11607.583333333334,4522.4
SAN,"San Diego, CA: San Diego International",March,2006.0,7882,637,654.0,571,8,25,1897,27051.0,33396,18145.0,355,1789,80736,42.55983131259884,1345.6,592.35
SFO,"San Francisco, CA: San Francisco International",March,2006.0,10964,932,964.0,2150,12,55,4117,44277.0,70775,120625.0,573,3833,240083,58.31503521982026,4001.383333333333,1741.7
SLC,"Salt Lake City, UT: Salt Lake City International",March,2006.0,11997,911,912.0,610,24,180,2636,40020.0,54490,20913.0,733,14383,130539,49.52162367223065,2175.65,850.0999999999999
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",April,2006.0,33251,,1109.10407239819,3775,39,317,7104,99162.0,84534,172490.0,4949,19977,381112,53.64752252252252,6351.866666666667,2159.731221719457
DEN,"Denver, CO: Denver International",April,2006.0,18308,917,992.0,773,11,49,2744,,54348,24260.0,585,2937,129465,47.18112244897959,2157.75,655.8
IAD,"Washington, DC: Washington Dulles International",April,2006.0,7963,371,650.0,335,1,34,1389,17816.0,43751,13154.0,20,1688,76429,55.02447804175666,1273.8166666666666,363.0
ORD,"Chicago, IL: Chicago O'Hare International",April,2006.0,30698,1248,2252.0,3978,2,157,7637,82190.0,149278,266814.0,84,11741,510107,66.79416001047532,8501.783333333333,2423.8
SAN,"San Diego, CA: San Diego International",April,2006.0,7468,564,614.0,457,6,25,1667,23750.0,29410,14267.0,141,2278,69846,41.899220155968806,1164.1,392.0
SFO,"San Francisco, CA: San Francisco International",April,2006.0,10824,764,771.0,1818,7,54,3413,39953.0,45559,97933.0,437,2943,186825,54.73923234690888,3113.75,1012.5
SLC,"Salt Lake City, UT: Salt Lake City International",April,2006.0,11402,560,543.0,311,6,67,1486,27703.0,27146,10156.0,299,3735,69039,46.459623149394346,1150.65,354.3
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",May,2006.0,34291,,1109.10407239819,3988,8,341,7534,96728.0,91200,169093.0,271,18692,375984,49.9049641624635,6266.4,2268.931221719457
DEN,"Denver, CO: Denver International",May,2006.0,19932,938,1157.0,955,8,56,3114,50562.0,69283,29422.0,334,4280,153881,49.41586384071933,2564.6833333333334,785.0999999999999
IAD,"Washington, DC: Washington Dulles International",May,2006.0,8085,426,710.0,361,3,27,1525,23489.0,46136,13124.0,79,2287,85115,55.81311475409836,1418.5833333333333,384.4
ORD,"Chicago, IL: Chicago O'Hare International",May,2006.0,31976,1390,2507.0,4881,2,211,8995,95276.0,186237,383262.0,90,19263,684128,76.05647581989994,11402.133333333333,2915.5
SAN,"San Diego, CA: San Diego International",May,2006.0,7896,469,532.0,308,3,34,1343,19743.0,25525,10378.0,174,1490,57310,42.67311988086374,955.1666666666666,316.79999999999995
SFO,"San Francisco, CA: San Francisco International",May,2006.0,11105,772,775.0,758,7,34,2347,37492.0,45027,28625.0,153,2025,113322,48.28376651043886,1888.7,569.7
SLC,"Salt Lake City, UT: Salt Lake City International",May,2006.0,11783,481,402.0,239,5,36,1163,24063.0,20179,7039.0,143,2032,53456,45.96388650042992,890.9333333333333,252.20000000000002
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",June,2006.0,33787,,2276.0,3086,8,638,8470,166260.0,160781,184943.0,512,46773,559269,66.02939787485242,9321.15,2555.2
DEN,"Denver, CO: Denver International",June,2006.0,20096,1301,1489.0,1171,11,109,4082,69938.0,97045,46100.0,461,8522,222066,54.40127388535032,3701.1,1024.1000000000001
IAD,"Washington, DC: Washington Dulles International",June,2006.0,7838,623,903.0,604,3,54,2188,,91872,33278.0,141,4900,176243,80.54981718464352,2937.383333333333,566.5
ORD,"Chicago, IL: Chicago O'Hare International",June,2006.0,31286,,3219.0,2927,12,216,8121,116084.0,229989,165308.0,393,18670,530444,65.31757172761975,8840.733333333334,2352.5
SAN,"San Diego, CA: San Diego International",June,2006.0,7893,573,656.0,374,12,41,1656,25027.0,33365,13567.0,332,3166,75457,45.565821256038646,1257.6166666666666,387.4
SFO,"San Francisco, CA: San Francisco International",June,2006.0,11128,961,1011.0,1062,8,64,3107,47748.0,61951,46523.0,574,5572,162368,52.25877051818475,2706.133333333333,792.1
SLC,"Salt Lake City, UT: Salt Lake City International",June,2006.0,12155,744,683.0,412,11,78,1926,35395.0,34642,,297,5002,89041,46.23104880581516,1484.0166666666667,447.70000000000005
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",July,2006.0,35419,,1109.10407239819,2757,6,539,8836,180568.0,153962,117474.0,385,33402,485791,54.9786102308737,8096.516666666666,1974.5312217194569
DEN,"Denver, CO: Denver International",July,2006.0,20934,1344,1617.0,1070,7,120,4157,78197.0,113705,42388.0,145,8864,243299,58.5275439018523,4054.983333333333,1033.1
IAD,"Washington, DC: Washington Dulles International",July,2006.0,8018,690,957.0,577,3,64,2292,,85806,27743.0,95,5981,167129,72.91841186736475,2785.483333333333,581.9
ORD,"Chicago, IL: Chicago O'Hare International",July,2006.0,31890,,3136.0,3339,6,235,8457,123105.0,233264,239564.0,236,21497,617666,73.03606479839186,10294.433333333332,2511.4
SAN,"San Diego, CA: San Diego International",July,2006.0,8173,650,672.0,406,7,55,1790,27633.0,32449,16577.0,224,3457,80340,44.88268156424581,1339.0,419.0
SFO,"San Francisco, CA: San Francisco International",July,2006.0,11625,935,947.0,594,8,76,2561,52345.0,67501,29420.0,242,6121,155629,60.76884029675908,2593.8166666666666,597.7
SLC,"Salt Lake City, UT: Salt Lake City International",July,2006.0,12847,737,653.0,334,10,69,1799,33720.0,32310,12422.0,224,3444,82120,45.64758198999444,1368.6666666666667,398.5
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",August,,35276,,1109.10407239819,4152,37,562,9726,179119.0,155909,206507.0,1574,44144,587253,60.37970388648982,9787.55,2555.5312217194573
DEN,"Denver, CO: Denver International",August,2006.0,21498,1209,1343.0,976,21,161,3708,63197.0,83503,,801,9737,193388,52.15426105717368,3223.133333333333,954.3000000000001
IAD,"Washington, DC: Washington Dulles International",August,2006.0,8330,559,760.0,348,13,73,1750,35300.0,56729,13489.0,388,4472,110378,63.073142857142855,1839.6333333333334,440.20000000000005
ORD,"Chicago, IL: Chicago O'Hare International",August,2006.0,32338,1473,2995.0,4002,64,235,8769,104221.0,209020,260445.0,2905,19301,595892,67.95438476451135,9931.533333333333,2734.3
SAN,"San Diego, CA: San Diego International",August,2006.0,8231,624,593.0,350,26,40,1633,27489.0,27628,11626.0,795,2331,69869,42.78567054500918,1164.4833333333333,357.9
SFO,"San Francisco, CA: San Francisco International",August,2006.0,11850,959,994.0,1147,31,80,3212,49553.0,60682,51519.0,1125,4569,167448,52.13200498132005,2790.8,837.0
SLC,"Salt Lake City, UT: Salt Lake City International",August,2006.0,12942,621,655.0,380,33,52,1742,28928.0,31625,13421.0,1276,2956,78206,44.894374282433986,1303.4333333333334,400.5
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",September,2006.0,32927,,1109.10407239819,6941,6,509,11991,154136.0,152640,376714.0,176,37579,721245,60.14886164623468,12020.75,5353.381221719457
DEN,"Denver, CO: Denver International",September,2006.0,19568,1063,1220.0,1130,17,117,3547,50825.0,75700,38512.0,432,9041,174510,49.19932337186355,2908.5,1217.5
IAD,"Washington, DC: Washington Dulles International",,2006.0,7744,503,719.0,384,4,32,1640,33736.0,53541,15447.0,396,2503,105623,64.40426829268293,1760.3833333333334,497.3
ORD,"Chicago, IL: Chicago O'Hare International",September,2006.0,30768,1323,2404.0,5143,3,174,9052,91470.0,184177,388021.0,69,18123,681860,75.32699955810871,11364.333333333334,4238.150000000001
SAN,"San Diego, CA: San Diego International",September,2006.0,7593,445,462.0,441,9,35,1391,,21505,14806.0,211,2814,57774,41.534148094895755,962.9,460.25
SFO,"San Francisco, CA: San Francisco International",September,2006.0,10821,703,721.0,995,9,41,2472,37889.0,45076,45510.0,365,3129,131969,53.38551779935275,2199.483333333333,904.05
SLC,"Salt Lake City, UT: Salt Lake City International",September,2006.0,11784,580,574.0,399,29,68,1650,26571.0,27734,16380.0,938,4815,76438,46.32606060606061,1273.9666666666667,499.55
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",October,2006.0,34692,,1109.10407239819,7054,13,510,13124,159670.0,193311,353883.0,398,36968,744230,56.70755867113685,12403.833333333334,5427.831221719457
DEN,"Denver, CO: Denver International",October,2006.0,19935,1174,1364.0,1514,20,91,4163,63609.0,86367,52965.0,502,7702,211145,50.71943310112899,3519.0833333333335,1484.3
IAD,"Washington, DC: Washington Dulles International",October,2006.0,8451,482,802.0,512,5,64,1865,31352.0,58070,22939.0,171,6377,118909,63.75817694369973,1981.8166666666666,637.4
ORD,"Chicago, IL: Chicago O'Hare International",October,2006.0,32244,,2824.0,5877,18,165,10412,107227.0,226658,465268.0,538,16628,816319,78.40174798309643,13605.316666666668,4832.25
